Ward,Road_Type,No_of_vehicles_involved,Time_Range,Month_Num,Nepali_Season,Weather_Clear,Weather_Cold,Weather_Cool,Weather_Dry,Weather_Dusty,Weather_Foggy,Weather_Frosty,Weather_Hot,Weather_Humid,Weather_Mild,Weather_Overcast,Weather_Pleasant,Weather_Rainy,Weather_Thunderstorm,Weather_Warm,Weather_Windy,Severity,Ward_Location_Risk
9,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.003289473684210526
4,0,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013157894736842105
4,0,3,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.013157894736842105
13,1,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
16,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.023026315789473683
14,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.08442982456140351
14,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.08442982456140351
13,1,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
17,1,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.01644736842105263
13,1,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
4,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.03508771929824561
3,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0.0043859649122807015
10,1,2,0,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0021929824561403508
15,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044956140350877194
4,0,2,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.03508771929824561
4,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.03508771929824561
12,1,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0010964912280701754
3,0,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.02631578947368421
14,1,1,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.08442982456140351
3,0,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.007675438596491228
14,0,2,2,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.08442982456140351
15,0,1,3,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044956140350877194
15,1,1,0,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.044956140350877194
13,1,2,1,7,3,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.07346491228070176
